link,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
https://www.youtube.com/watch?v=Bg2_T50WAm8,L’Atlante,Vigo,1934,Jean and Juliette's story. One can see the face of one's true love in the water.,French impressionism; photogenie; ,"Bassin de la Villette, Paris, France",48.886111,2.375,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=OeQJAt521-I,By the Bluest of Seas,Barnet,1935,A romantic comedy about a love triangle in an enchanted Soviet Azerbaijani island in the Caspian Sea,"Drama, Musical, romantic comedy","Caspian Sea, Azerbaijan",40.37164726,50.37437607,,,Image;MovingImage,video/mp4,Russian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,La Bretagne,Epstein,1936,Documetary about Breton culture,documentary,"Rennes, Brittany",48.11338351,-1.681579968,,,,,Breton,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,The Wave (Redes),Muriel and Zinneman,1936,Story about the fishing community of Alvarado on the Gulf Coast of Mexico,neorealism; non-professional cast,"Alvarado, Veracruz, Mexico",18.76642795,-95.75784345,,,,,Spanish,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,A Day in the Country,Renoir,1936,A city family from Paris goes on a picnic to the nearby countryside; an adaptation of a Maupassant short story.,drama; social realism; ,"Montigny-sur-Loing, Ile de France, France",48.32659183,2.749298585,,,,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,Showboat,Whale,1936,Adaptation of a Broadway musical: story of performers on a Mississippi river boat.,romantic comedy; musical,Universal Studios Backlot,34.14070294,-118.3474432,,,,,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://archive.org/details/la-femme-du-bout-du-monde-epstein,La Femme du bout du monde,Epstein,1938,"Looking for a radium ore in Antartic Ocean, the crew instead finds a Breton woman and a series of murders and suicides. ",French impressionism; photogenie; ,"Ouessant, Brittany, France",48.46077326,-5.091750978,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.loc.gov/item/2007640253/,The River,Lorentz,1938,A depression-era documentary about the Mississippi River and the problems created by farming and timber practices in the region,documentary,Mississippi River,,,,,Image;MovingImage,video/mp4,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,Undersea Fantasy,Rossellini,1940,Fish in love,Documentary; animal; ,"Ladispoli, Rome, Italy",41.94888052,12.07733152,,,,,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,Remorques,Gremillon,1941,An ordinary and content tugboat captain finds himself in a volatile romantic situation. The film was shot on location in Brest and at the Billancourt Studios in Paris. ,drama; ,"Brest, Brittany, France",48.38652936,-4.48654189,,,,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=wlbAoGSslAQ,Moods of the Sea,Hoffman and Vorkapic,1941,An experimental film set to Mendelssohn's music and portraying the ocean.,documentary; avant-garde; experimental,"Fingal's Cave, Inner Hebrides, Scotland",56.43136424,-6.341450175,,,Image;MovingImage,video/mp4,Music,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=nHyX-Y8fLog,Swamp Water,Renoir,1941,A man encounters a fugitive and his daughter while hunting in the Okefenokee Swamp. ,noir; crime; ,"Okefenokee Swamp, Georgia, USA",31.05680319,-82.27216607,,,Image;MovingImage,video/mp4,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,Ornamental Hairpin,Shimizu,1941,A quiet comedy / drama about a group of people at a spa where a potential romance begins.  ,comedy; drama,"rural Japan, possibly somewhere in the Izu Peninsula",34.9,138.95,,,,,Japanese,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,Under the Bridges,Kautner,1945,A story about two Havel boatsmen and their romances. The film was shot in 1944 but was not released until after the fall of Nazi Germany. ,drama,"Berlin, Germany",52.45821152,13.18111024,,,,,German,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=EvafmE3Lel0,At Land,Deren,1946,An experimental short film about exploring your inner world and finding your identity,experimental; avant-garde; ,"Amagasett, Long Island, New York, USA ",40.96826348,-72.12613626,,,Image;MovingImage,video/mp4,Music,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=ixccmJ5j_oY,People of the Po Valley,Antonioni,1947,A short documentary on the people of the Po Valley follows a barge trip down the Po river. The film was shot near Ferrara. ,documentary,"Ferrara, Italy",44.88852965,11.61296572,,,Image;MovingImage,video/mp4,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.cinematheque.fr/henri/film/48399-le-tempestaire-jean-epstein-1947/,Le Tempestaire,Epstein,1947,"Le Tempestaire, or the ""storm-tamer,"" tells the story of a woman who visits the local storm-tamer to ensure the safety of her lover who is out at sea. The film manipulates time by slowing down and reversing its images of the stormy seas.",French impressionism; photogénie; experimental,"Belle-ile, Brittany, France",47.36144821,-3.192819155,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://m.ok.ru/video/5983632296531,Les Feux de la mer,Epstein,1948,"Epstein's documentary about lighthouses and lighthouse keepers; last of the Breton films, it was commissioned by the United Nations. ",documentary,"Ouessant, Brittany, France",48.46077326,-5.091750978,,,Image;MovingImage,video/mp4,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
,La Terra Trema,Visconti,1948,"A five-part film that tells the stories of Sicilian fishermen and their struggles, it's considered a key neorealist film and exhibits many characteristics such as the non-professional actors. ",neorealism; non-professional cast; ,"Aci Trezza, Catania, Italy",37.56131503,15.15791573,,,,,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
https://www.youtube.com/watch?v=g_Czx6qdKJo,Late Spring,Ozu,1949,"A film about a father and his widowed daughter. Set in the coastal town of Kamakura, south of Tokyo, the film was primarily shot in Kamakura and Chigasaki. ",shomingeki,"Kamakura, Kanagawa, Japan",35.32277521,139.5353139,,,Image;MovingImage,video/mp4,Japanese,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
